"Rank","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
392,"Dejounte Murray","PG",25,"SAS",52,52,34.4,8.2,17.9,0.459,1.3,4,0.319,6.9,13.9,0.5,0.495,2.2,2.9,0.758,1.3,7,8.3,9.3,2,0.3,2.4,2,19.9,5.2
200,"JaMychal Green","PF",31,"DEN",45,7,14.9,2.3,5,0.451,0.6,2.2,0.265,1.7,2.8,0.594,0.509,1.2,1.4,0.869,1,2.7,3.7,0.8,0.7,0.4,0.9,2.2,6.3,-1.6
156,"CJ Elleby","SF",21,"POR",35,7,15.1,1.6,4.1,0.392,0.5,1.8,0.29,1.1,2.3,0.469,0.455,0.6,0.7,0.808,0.9,2.1,2.9,1.1,0.5,0.2,0.5,1.6,4.3,-3.8
499,"Dennis Smith Jr.","PG",24,"POR",37,4,17.2,2.1,5.1,0.418,0.2,0.7,0.222,2,4.4,0.451,0.434,1.1,1.7,0.656,0.5,1.8,2.4,3.6,1.2,0.3,1.4,1.4,5.6,-1.4
563,"Quinndary Weatherspoon","SG",25,"GSW",5,0,6.6,1.2,2,0.6,0,0.2,0,1.2,1.8,0.667,0.6,0.4,0.4,1,0.2,1,1.2,0.4,0.2,0.2,0.6,1.4,2.8,-6.5
360,"Cameron McGriff","SF",24,"POR",3,0,15.3,1.7,4.7,0.357,0.7,2,0.333,1,2.7,0.375,0.429,0.7,0.7,1,2,3,5,1,0,0.3,0,2.3,4.7,-3.7
326,"Nassir Little","SF",21,"POR",42,23,25.9,3.5,7.5,0.46,1.2,3.7,0.331,2.2,3.8,0.584,0.541,1.6,2.2,0.734,1.4,4.2,5.6,1.3,0.6,0.9,1,2,9.8,-1.1
556,"Duane Washington Jr.","PG",21,"IND",28,7,19.8,3.3,8.6,0.378,1.5,4.4,0.341,1.8,4.2,0.415,0.465,0.8,1,0.759,0.1,1.8,1.8,1.9,0.5,0,1,1.4,8.8,-5.4
224,"Jaxson Hayes","C",21,"NOP",47,5,17,3.3,5.1,0.647,0.1,0.6,0.269,3.1,4.5,0.693,0.662,2,2.6,0.767,1.4,2.5,3.9,0.5,0.4,0.7,0.7,2.3,8.7,0.3
369,"Khris Middleton","SF",30,"MIL",48,48,32.1,6.6,15,0.438,2.3,6.4,0.356,4.3,8.6,0.499,0.514,4,4.5,0.884,0.6,4.9,5.5,5.3,1.2,0.3,2.9,2.5,19.4,1.3
575,"Lou Williams","PG",35,"ATL",40,0,14.7,2.4,6.1,0.397,0.8,2.1,0.357,1.7,4,0.418,0.459,1.3,1.4,0.893,0.3,1.3,1.6,2,0.5,0.1,0.8,0.9,6.8,-2.9
96,"Willie Cauley-Stein","C",28,"DAL",18,2,9.8,0.9,1.9,0.457,0.1,0.1,0.5,0.8,1.8,0.455,0.471,0.1,0.1,0.5,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9,-3.1
336,"Théo Maledon","PG",20,"OKC",31,0,14.2,1.3,4.2,0.318,0.5,2.1,0.231,0.8,2.1,0.406,0.376,1.2,1.4,0.857,0.3,1.4,1.6,1.2,0.5,0.2,0.9,1.1,4.3,-6.1
434,"Reggie Perry","PF",21,"TOT",3,0,17,1.7,3.3,0.5,0.3,0.7,0.5,1.3,2.7,0.5,0.55,0.7,0.7,1,0.7,2,2.7,0.7,0.3,0,0.3,3,4.3,-6.8
525,"Matt Thomas","SG",27,"CHI",35,0,12.8,1.4,3.6,0.397,0.9,2.5,0.384,0.5,1.1,0.425,0.528,0.5,0.6,0.8,0.1,1.3,1.4,0.6,0.2,0.1,0.2,0.5,4.3,-2.9
