Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
1,Precious Achiuwa,C,22,TOR,48,23,23.1,3.1,7.3,0.423,0.4,1.2,0.305,2.7,6.1,0.447,0.449,0.9,1.6,0.579,2.2,4.7,6.9,1.1,0.5,0.6,1,2,7.5,-3.2
2,Steven Adams,C,28,MEM,56,55,26.1,2.8,5,0.546,0,0,,2.8,5,0.546,0.546,1.5,2.7,0.556,4.5,5.1,9.6,3.2,0.9,0.7,1.6,1.9,7,1.5
3,Bam Adebayo,C,24,MIA,34,34,33.4,7.1,13.5,0.524,0,0.1,0,7.1,13.4,0.529,0.524,4.4,5.9,0.751,2.9,7.4,10.2,3.5,1.5,0.7,2.9,3.1,18.6,3.2
4,Santi Aldama,PF,21,MEM,27,0,10.3,1.4,3.6,0.381,0.1,1.4,0.103,1.2,2.1,0.569,0.402,0.4,0.7,0.6,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1,3.3,-6.6
5,LaMarcus Aldridge,C,36,BRK,39,11,22.9,5.8,10.4,0.559,0.3,1,0.308,5.5,9.4,0.586,0.574,1.8,2.1,0.855,1.6,4.1,5.7,0.8,0.3,1.1,1,1.8,13.8,0.9
6,Nickeil Alexander-Walker,SG,23,TOT,52,19,25.4,4.6,12.2,0.374,1.8,5.9,0.31,2.7,6.3,0.434,0.449,1.3,1.9,0.722,0.7,2.5,3.2,2.7,0.8,0.4,1.6,1.7,12.3,-3.2
7,Grayson Allen,SG,26,MIL,49,48,28,4,9.4,0.425,2.5,6.4,0.392,1.5,3,0.497,0.56,1,1.1,0.857,0.5,2.9,3.4,1.5,0.8,0.3,0.6,1.4,11.5,0.3
8,Jarrett Allen,C,23,CLE,50,50,32.6,6.6,9.9,0.666,0,0.2,0.1,6.6,9.7,0.678,0.667,3,4.3,0.702,3.6,7.4,11,1.8,0.7,1.3,1.8,1.8,16.2,3.9
9,Jose Alvarado,PG,23,NOP,31,1,12.8,1.9,4.5,0.426,0.6,1.8,0.316,1.4,2.7,0.5,0.489,0.6,0.9,0.741,0.3,1.2,1.5,2,1,0.2,0.5,1.3,5.1,1.6
10,Justin Anderson,SF,28,TOT,6,0,12.8,1,3.2,0.316,0.5,2.5,0.2,0.5,0.7,0.75,0.395,1,1.2,0.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5,-4.3
11,Kyle Anderson,PF,28,MEM,47,8,21.7,3,7,0.431,0.6,1.7,0.333,2.4,5.3,0.462,0.471,1,1.6,0.636,0.9,4.3,5.2,2.7,1.1,0.6,1,1.5,7.6,0.7
12,Giannis Antetokounmpo,PF,27,MIL,49,49,32.7,10.1,18.5,0.547,1.2,3.8,0.309,8.9,14.7,0.61,0.579,8,11.1,0.721,1.9,9.3,11.2,6,1,1.4,3.3,3.2,29.4,11.3
13,Thanasis Antetokounmpo,SF,29,MIL,37,5,9.7,1.1,2.3,0.477,0,0.3,0.091,1.1,2,0.533,0.483,0.4,0.6,0.625,0.8,1.3,2.1,0.5,0.4,0.2,0.5,1.5,2.6,-4.4
14,Carmelo Anthony,PF,37,LAL,50,3,26.5,4.6,10.5,0.437,2.3,5.9,0.392,2.3,4.6,0.496,0.548,2,2.4,0.824,0.8,3.3,4.2,1,0.7,0.8,0.9,2.2,13.4,0.1
15,Cole Anthony,PG,21,ORL,46,46,33,6,15.2,0.398,2.2,6.5,0.337,3.9,8.7,0.443,0.469,3.5,4,0.855,0.6,5.2,5.8,5.9,0.8,0.3,2.9,2.7,17.7,-0.9
16,OG Anunoby,SF,24,TOR,42,42,36.7,6.6,15.1,0.436,2.4,6.8,0.351,4.2,8.3,0.506,0.515,1.9,2.5,0.748,1.6,3.9,5.5,2.6,1.5,0.6,1.8,3,17.5,0.1
17,Trevor Ariza,SF,36,LAL,20,8,19.3,1.3,3.7,0.351,1,3.1,0.328,0.3,0.7,0.462,0.486,0.4,0.7,0.5,0.3,3.1,3.4,1.2,0.5,0.2,0.5,0.9,4,-2.9
18,D.J. Augustin,PG,34,HOU,34,2,15,1.6,4,0.404,1.1,2.8,0.406,0.5,1.2,0.4,0.548,1,1.1,0.868,0.2,1,1.2,2.2,0.3,0,1.3,0.5,5.4,-4.4
19,Deni Avdija,SF,21,WAS,58,6,23.4,2.8,6.4,0.441,0.9,2.9,0.307,1.9,3.6,0.549,0.509,1.2,1.6,0.767,0.6,4.4,5.1,1.7,0.8,0.6,0.8,2.3,7.7,-1.1
20,Joel Ayayi,SG,21,WAS,7,0,2.9,0.1,0.9,0.167,0,0.1,0,0.1,0.7,0.2,0.167,0,0,,0.1,0.3,0.4,0.6,0,0,0,0,0.3,-5.9
21,Deandre Ayton,C,23,PHO,37,37,29.1,7.2,11.4,0.633,0.1,0.2,0.222,7.1,11.1,0.642,0.636,2,2.8,0.728,2.6,7.6,10.3,1.4,0.8,0.8,1.6,2.2,16.5,3.5
22,Udoka Azubuike,C,22,UTA,15,6,11.9,2.2,2.9,0.75,0,0,,2.2,2.9,0.75,0.75,0.4,0.7,0.545,1,3.1,4.1,0,0.1,0.7,0.8,1.5,4.8,-1.9
23,Marvin Bagley III,PF,22,TOT,32,17,21.9,3.8,8.2,0.46,0.5,2,0.238,3.3,6.3,0.53,0.489,1.2,1.7,0.685,2.3,4.9,7.2,0.6,0.3,0.3,0.7,1.6,9.2,-3.7
24,LaMelo Ball,PG,20,CHO,53,53,32.7,7.2,16.9,0.423,2.7,7.3,0.367,4.5,9.6,0.467,0.503,3.1,3.6,0.857,1.6,5.5,7.1,7.5,1.6,0.4,3.2,3.2,20,3.5
25,Lonzo Ball,PG,24,CHI,35,35,34.6,4.6,10.9,0.423,3.1,7.4,0.423,1.5,3.5,0.423,0.567,0.6,0.8,0.75,1,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13,2.7
26,Mo Bamba,C,23,ORL,49,47,26,3.9,8.4,0.468,1.3,3.7,0.344,2.7,4.7,0.565,0.544,0.8,1,0.8,2.1,5.8,7.9,1.3,0.6,1.8,1.2,2.5,10,0.1
27,Desmond Bane,SF,23,MEM,56,56,30.2,6.6,14.4,0.46,2.9,6.9,0.419,3.7,7.4,0.499,0.561,1.8,1.9,0.907,0.6,3.9,4.5,2.5,1.2,0.4,1.6,2.6,17.9,2
28,Dalano Banton,SF,22,TOR,47,1,11.8,1.5,3.6,0.413,0.2,0.9,0.256,1.2,2.6,0.468,0.446,0.4,0.7,0.618,0.7,1.6,2.2,1.6,0.5,0.2,1,1.2,3.6,-3.3
29,Cat Barber,PG,27,ATL,3,0,4.3,0,1.3,0,0,0,,0,1.3,0,0,0,1.3,0,0.3,0.7,1,1,0,0,0.3,0.3,0,-23.4
30,Harrison Barnes,PF,29,SAC,55,55,33.7,5.2,11.1,0.466,2,4.8,0.409,3.2,6.3,0.51,0.555,4.7,5.6,0.828,1.1,5,6.1,2.5,0.7,0.2,1.6,1.3,17,0.8
31,Scottie Barnes,PF,20,TOR,49,49,35.4,5.7,12.1,0.47,0.8,2.7,0.313,4.9,9.4,0.514,0.504,2.2,3,0.733,2.4,5,7.4,3.3,1,0.8,1.8,2.7,14.4,0
32,RJ Barrett,SF,21,NYK,48,48,33.1,6.4,15.5,0.412,2,5.6,0.354,4.4,9.8,0.445,0.476,3.2,4.6,0.695,0.9,4.8,5.7,2.6,0.5,0.3,2,2,18,-1.6
33,Will Barton,SG,31,DEN,51,51,32.3,5.8,13,0.444,2.2,6,0.37,3.5,7,0.508,0.53,1.4,1.7,0.784,0.6,4.3,5,3.9,0.8,0.5,1.9,1.5,15.2,0.3
34,Paris Bass,SF,26,PHO,2,0,3.5,1,3,0.333,0,1,0,1,2,0.5,0.333,1,1,1,1,1,2,0,0.5,0,1,1,3,-12.4
35,Charles Bassey,PF,21,PHI,23,0,7.3,1.3,2,0.638,0,0.2,0,1.3,1.9,0.698,0.638,0.4,0.5,0.75,1,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3,1.9
36,Keita Bates-Diop,SF,26,SAS,45,12,16.3,2.2,4.3,0.503,0.3,0.9,0.333,1.8,3.4,0.55,0.539,0.7,1,0.705,1,2.9,3.9,0.6,0.5,0.3,0.7,1,5.3,-2.7
37,Nicolas Batum,PF,33,LAC,40,35,24.8,3.2,6.6,0.487,2,4.7,0.418,1.3,1.9,0.658,0.636,0.4,0.6,0.667,0.5,4,4.5,1.5,1,0.7,0.7,1.4,8.8,3
38,Kent Bazemore,SF,32,LAL,32,14,14.4,1.3,3.8,0.331,0.8,2.1,0.358,0.5,1.7,0.296,0.43,0.4,0.5,0.765,0.3,1.4,1.7,0.9,0.7,0.2,0.3,1.8,3.7,-3.5
39,Darius Bazley,PF,21,OKC,53,37,27.3,3.6,9,0.4,1,3.5,0.294,2.6,5.5,0.467,0.457,1.6,2.3,0.697,1.1,5.4,6.6,1.3,0.8,1.1,1.3,1,9.8,-1.8
40,Bradley Beal,SG,28,WAS,40,40,36,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,0.492,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,0.9
41,Malik Beasley,SG,25,MIN,59,10,25.3,4.3,11.4,0.375,2.9,8.2,0.353,1.4,3.2,0.431,0.501,0.5,0.7,0.762,0.4,2.6,3,1.5,0.5,0.2,0.6,1.2,11.9,-1.9
42,Jordan Bell,C,27,CHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,1,0,0,2,0,3
43,DeAndre' Bembry,SF,27,BRK,48,20,19.8,2.5,4.4,0.568,0.3,0.8,0.417,2.2,3.7,0.599,0.603,0.4,0.7,0.6,0.8,2.4,3.2,1.3,1,0.5,0.6,2.2,5.8,-0.5
44,Dāvis Bertāns,PF,29,TOT,36,0,14.8,1.8,5.2,0.349,1.4,4.4,0.316,0.4,0.8,0.536,0.484,0.8,0.9,0.935,0.2,1.6,1.8,0.5,0.3,0.2,0.4,1.6,5.8,-3.7
45,Patrick Beverley,PG,33,MIN,40,36,26.4,3.2,7.8,0.41,1.4,4.2,0.333,1.8,3.6,0.5,0.5,1.5,2.1,0.707,1.1,3.3,4.4,4.9,1.2,1,1.3,3.1,9.2,2.7
46,Saddiq Bey,SF,22,DET,58,58,33.6,5.5,14.1,0.388,2.6,7.4,0.346,2.9,6.7,0.435,0.479,2.4,2.9,0.83,1.4,4.4,5.8,2.8,0.9,0.2,1.3,1.6,15.9,-0.6
47,Khem Birch,C,29,TOR,31,8,18.7,1.9,3.8,0.508,0,0.3,0,1.9,3.5,0.545,0.508,1.1,1.5,0.761,2.4,2.2,4.5,1.1,0.8,0.5,0.5,1.7,5,0.3
